id,title_id,name,character,role
3180,82169,Sylvester Stallone,"Robert ""Rocky"" Balboa",ACTOR
7748,82169,Talia Shire,"Adrianna ""Adrian"" Pennino",ACTOR
7749,82169,Burt Young,Paulie Pennino,ACTOR
7750,82169,Carl Weathers,Apollo Creed,ACTOR
7751,82169,Burgess Meredith,Mickey Goldmill,ACTOR
7752,82169,Thayer David,"George ""Miles"" Jergens",ACTOR
7753,82169,Joe Spinell,Tony Gazzo,ACTOR
7754,82169,Jimmy Gambina,Mike,ACTOR
7755,82169,Bill Baldwin,Fight Announcer,ACTOR
7756,82169,Al Silvani,Cut Man,ACTOR
7757,82169,George Memmoli,Ice Rink Attendant,ACTOR
7758,82169,Jodi Letizia,Marie,ACTOR
7759,82169,Diana Lewis,TV Commentator 1,ACTOR
7760,82169,George O'Hanlon,TV Commentator 2,ACTOR
7761,82169,Larry Carroll,TV Interviewer,ACTOR
7764,82169,Stan Shaw,Dipper,ACTOR
7765,82169,Don Sherman,Bartender,ACTOR
7766,82169,Billy Sands,Club Fight Announcer,ACTOR
7768,82169,Pedro Lovell,Club Fighter,ACTOR
7767,82169,DeForest Covan,Apollo's Corner,ACTOR
7769,82169,Simmy Bow,Club Corner Man,ACTOR
7762,82169,Tony Burton,"Tony ""Duke"" Evers",ACTOR
7770,82169,Hank Rolike,Apollo Corner Man,ACTOR
7771,82169,Shirley O'Hara,Secretary,ACTOR
7772,82169,Kathleen Parker,Paulie's Date,ACTOR
7773,82169,Frank Stallone,Streetcorner Singer,ACTOR
7763,82169,Lloyd Kaufman,Drunk,ACTOR
7774,82169,Jane Marla Robbins,Owner of Pet Shop,ACTOR
643128,82169,Jack Hollander,Fats,ACTOR
1371763,82169,Joe Sorbello,Bodyguard,ACTOR
1372320,82169,Christopher Avildsen,Chiptooth,ACTOR
7775,82169,Frankie Van,Club Fight Referee,ACTOR
973957,82169,Lou Fillipo,Championship Fight Announcer,ACTOR
1371637,82169,Paris Eagle,Fighter,ACTOR
954193,82169,Frank Stallone,Timekeeper,ACTOR
1372328,82169,Robert L. Tangrea,Streetcorner Singer,ACTOR
1372329,82169,Peter Glassberg,Streetcorner Singer,ACTOR
1372331,82169,William E. Ring,Streetcorner Singer,ACTOR
1372333,82169,Joseph C. Giambelluc,Streetcorner Singer,ACTOR
7776,82169,Joe Frazier,Himself,ACTOR
1372001,82169,Butkus Stallone,Butkus (Rocky's Dog),ACTOR
3827,82169,Michael Dorn,Apollo Creed's Bodyguard (uncredited),ACTOR
7777,82169,Arnold Johnson,Spectator (uncredited),ACTOR
7778,82169,Stu Nahan,Fight Commentator (uncredited),ACTOR
6948,82169,Frank Pesce,Spectator (uncredited),ACTOR
7780,82169,Lavelle Roby,Mary Anne Creed (uncredited),ACTOR
7781,82169,Arthur Tovey,Reporter (uncredited),ACTOR
7779,82169,John Pleshette,Aftershave Commercial Director (uncredited),ACTOR
2753903,82169,Butkus Stallone,Butkus,ACTOR
7782,82169,John G. Avildsen,,DIRECTOR
1509,17823,John Travolta,Danny Zuko,ACTOR
51295,17823,Olivia Newton-John,Sandy Olsson,ACTOR
25163,17823,Stockard Channing,Betty Rizzo,ACTOR
28150,17823,Jeff Conaway,Kenickie,ACTOR
33105,17823,Barry Pearl,Doody,ACTOR
12208,17823,Michael Tucci,Sonny,ACTOR
46107,17823,Kelly Ward,Putzie,ACTOR
33104,17823,Didi Conn,Frenchy,ACTOR
5747,17823,Jamie Donnelly,Jan,ACTOR
82280,17823,Dinah Manoff,Marty Maraschino,ACTOR
55217,17823,Eve Arden,Principal McGee,ACTOR
65646,17823,Frankie Avalon,Teen Angel,ACTOR
51203,17823,Joan Blondell,Vi,ACTOR
223076,17823,Edd Byrnes,Vince Fontaine,ACTOR
16766,17823,Sid Caesar,Coach Calhoun,ACTOR
21355,17823,Alice Ghostley,Mrs. Murdock,ACTOR
189,17823,Dody Goodman,Blanche,ACTOR
96445,17823,Susan Buckner,Patty Simcox,ACTOR
61328,17823,Lorenzo Lamas,Tom Chisum,ACTOR
14841,17823,Fannie Flagg,Nurse Wilkins,ACTOR
1132350,17823,Dick Patterson,Mr. Rudie,ACTOR
13181,17823,Eddie Deezen,Eugene Felnic,ACTOR
17903,17823,Darrell Zwerling,Mr. Lynch,ACTOR
72139,17823,Ellen Travolta,Waitress,ACTOR
514565,17823,Annette Charles,Cha Cha DiGregorio,ACTOR
798617,17823,Dennis Stewart,"Leo ""Craterface"" Balmudo",ACTOR
680105,17823,Barbi Alison,Dancer,ACTOR
1313608,17823,Helena Andreyko,Dancer,ACTOR
489558,17823,Jennifer Buchanan,Dancer,ACTOR
1313589,17823,Carol Culver,Dancer,ACTOR
1313600,17823,Cindy DeVore,Dancer,ACTOR
1313588,17823,Deborah Fishman,Dancer,ACTOR
36199,17823,Antonia Franceschi,Dancer,ACTOR
1085263,17823,Sandra Gray,Dancer,ACTOR
662779,17823,Mimi Lieber,Dancer,ACTOR
1313987,17823,Judy Susman,Dancer,ACTOR
1313989,17823,Larry Dusich,Dancer,ACTOR
831634,17823,John Robert Garrett,Dancer,ACTOR
1314005,17823,Daniel Levins,Dancer,ACTOR
32844,17823,Sean Moran,Dancer,ACTOR
1314003,17823,Greg Rosatti,Dancer,ACTOR
537073,17823,Andy Roth,Dancer,ACTOR
1314014,17823,Lou Spadaccini,Dancer,ACTOR
21155,17823,Andy Tennant,Dancer,ACTOR
1314007,17823,Richard Weisman,Dancer,ACTOR
13499,17823,Michael Biehn,Mike (uncredited),ACTOR
11344,17823,Wendie Jo Sperber,Dancer (uncredited),ACTOR
28692,17823,Randal Kleiser,,DIRECTOR
15032,191099,Paul Newman,Henry Gondorff,ACTOR
11605,191099,Robert Redford,Johnny Hooker,ACTOR
26228,191099,Robert Shaw,Doyle Lonnegan,ACTOR
25703,191099,Charles Durning,Lt. Wm. Snyder,ACTOR
19399,191099,Ray Walston,J.J. Singleton,ACTOR
18546,191099,Eileen Brennan,Billie,ACTOR
7255,191099,Harold Gould,Kid Twist,ACTOR
26229,191099,John Heffernan,Eddie Niles,ACTOR
26230,191099,Dana Elcar,F.B.I. Agent Polk,ACTOR
26231,191099,Jack Kehoe,Erie Kid,ACTOR
26240,191099,Dimitra Arliss,Loretta,ACTOR
